komentar;label;;;;;;;;;;;;;;;;;;;;;
Sorry but... JULIE own the sound;0;;;;;;;;;;;;;;;;;;;;;
why are ateez concerts slowly turning into magic mike show 😭🙏;0;;;;;;;;;;;;;;;;;;;;;
that's why ateez concert had minimum age to attend😭;0;;;;;;;;;;;;;;;;;;;;;
YALL THATS MY MAN;0;;;;;;;;;;;;;;;;;;;;;
flash us jusseyo 🙏;1;;;;;;;;;;;;;;;;;;;;;
Oh noooo why is this TikTok 5 hours long????;0;;;;;;;;;;;;;;;;;;;;;
somethings off about this… my clothes;1;;;;;;;;;;;;;;;;;;;;;
can someone please please please pleaseeeeee tag me in the 4th vid I can't find it I've looking for that one vid for like past 1 hour😭;0;;;;;;;;;;;;;;;;;;;;;
i worked hard for this fy;0;;;;;;;;;;;;;;;;;;;;;
born to ride;0;;;;;;;;;;;;;;;;;;;;;
You are my best friend and my partner 💕 I am so lucky to have you in my life🙏;0;;;;;;;;;;;;;;;;;;;;;
My type😩😩😍😍😁;0;;;;;;;;;;;;;;;;;;;;;
STOP CHOI SANNNNNNN;0;;;;;;;;;;;;;;;;;;;;;
ahhhh why he is so fine but not mine;0;;;;;;;;;;;;;;;;;;;;;
your girlfriend is so gorgeous;0;;;;;;;;;;;;;;;;;;;;;
damn;0;;;;;;;;;;;;;;;;;;;;;
my type😭💕💕;0;;;;;;;;;;;;;;;;;;;;;
"""you coming?"" yeah, on the screen, catch!";1;;;;;;;;;;;;;;;;;;;;;
he be testing my sanity every day 😔;0;;;;;;;;;;;;;;;;;;;;;
omgggg choi sann i can't kentrul my heart😩;0;;;;;;;;;;;;;;;;;;;;;
bro where did my clothes go😔;1;;;;;;;;;;;;;;;;;;;;;
uhm both lips smiled;1;;;;;;;;;;;;;;;;;;;;;
what r u doing MR. KIM MINGYU?? 😇;0;;;;;;;;;;;;;;;;;;;;;
I'M REPOSTING FOR THOSE WHO CAN'T🥰;0;;;;;;;;;;;;;;;;;;;;;
for people who are fans of ennead;0;;;;;;;;;;;;;;;;;;;;;
he knows what he's doing;0;;;;;;;;;;;;;;;;;;;;;
the CAPTION??? EXCUSE ME??;0;;;;;;;;;;;;;;;;;;;;;
way too risky to repost 😔🙏🏻;0;;;;;;;;;;;;;;;;;;;;;
Too risky to repost;0;;;;;;;;;;;;;;;;;;;;;
whattt behavior???;0;;;;;;;;;;;;;;;;;;;;;
Mingyu knows very well what he's doing.🫠🫣🥰;0;;;;;;;;;;;;;;;;;;;;;
With the vampire teeth too 😫💕;0;;;;;;;;;;;;;;;;;;;;;
what a baddie;0;;;;;;;;;;;;;;;;;;;;;
i was here;0;;;;;;;;;;;;;;;;;;;;;
is the tongue necessary 😭;0;;;;;;;;;;;;;;;;;;;;;
man im curling my feet;1;;;;;;;;;;;;;;;;;;;;;
ILY jaehyun;0;;;;;;;;;;;;;;;;;;;;;
one chance;1;;;;;;;;;;;;;;;;;;;;;
mingyu asal kamu tau aku ga pernah se hyper ini liat cowok selain kamu🙏;1;;;;;;;;;;;;;;;;;;;;;
jangan godain aku mas;0;;;;;;;;;;;;;;;;;;;;;
Need him out of the military IMMEDIATELY;0;;;;;;;;;;;;;;;;;;;;;
Take it out please;1;;;;;;;;;;;;;;;;;;;;;
its pulsing his name in morse code;0;;;;;;;;;;;;;;;;;;;;;
i have something to say.. 𝓫𝓾𝓽 𝓲 𝔀𝓪𝓷𝓽 𝓽𝓸 𝓰𝓸 𝓽𝓸 𝓬𝓸𝓵𝓵𝓮𝓰𝓮..;0;;;;;;;;;;;;;;;;;;;;;
standing ovulation or whatever it's called;1;;;;;;;;;;;;;;;;;;;;;
“get a load of this guy” GIRL IM TRYING ARE YOU GONNA TELL ME HOW;0;;;;;;;;;;;;;;;;;;;;;
"""And you're going hear me ROARRRR"" or wtv Katy Perry said";0;;;;;;;;;;;;;;;;;;;;;
Girlie is gonna get them wild (I’m them).;0;;;;;;;;;;;;;;;;;;;;;
i have nothing appropriate to say but i am fasting rn 😩;1;;;;;;;;;;;;;;;;;;;;;
Raw I mean aww;1;;;;;;;;;;;;;;;;;;;;;
I NEED HIM SO BAD;0;;;;;;;;;;;;;;;;;;;;;
that man you are good😩🫦🔥;0;;;;;;;;;;;;;;;;;;;;;
he's the king bed;1;;;;;;;;;;;;;;;;;;;;;
sohee i found ur papa;0;;;;;;;;;;;;;;;;;;;;;
never needed a man this badly;0;;;;;;;;;;;;;;;;;;;;;
He serving enough bring him back🙏🙏;0;;;;;;;;;;;;;;;;;;;;;
My ovaries sing in an operatic church choir when I see him;1;;;;;;;;;;;;;;;;;;;;;
baby come HOME;0;;;;;;;;;;;;;;;;;;;;;
I can function without him;0;;;;;;;;;;;;;;;;;;;;;
I WAS SINGING THIS AND THEN THE EDIT CAME UP AT THE EXACT SAME TIME 😨;0;;;;;;;;;;;;;;;;;;;;;
omg I’m not can’t more 😭😭😭;0;;;;;;;;;;;;;;;;;;;;;
wait something’s off..;0;;;;;;;;;;;;;;;;;;;;;
hyunjin's shiny bald spot;0;;;;;;;;;;;;;;;;;;;;;
guys these comments are not it smh can we stop overly sexualising idols;0;;;;;;;;;;;;;;;;;;;;;
he ain't coming back;0;;;;;;;;;;;;;;;;;;;;;
